,Country,NOC,Region,Year,Per Capita GDP,Total Medals,Population,lat,lon
1638,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,1992,31414.98464,81,124425000,36.5748441,139.2394179
1639,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,1994,39200.49357,21,125178000,36.5748441,139.2394179
1640,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,1996,38436.92631,74,125757000,36.5748441,139.2394179
1641,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,1998,31902.7671,30,126400000,36.5748441,139.2394179
1642,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2000,38532.04088,85,126843000,36.5748441,139.2394179
1643,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2002,32289.35054,3,127445000,36.5748441,139.2394179
1644,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2004,37688.72234,155,127761000,36.5748441,139.2394179
1645,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2006,35433.98896,3,127854000,36.5748441,139.2394179
1646,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2008,39339.29757,112,128063000,36.5748441,139.2394179
1647,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2010,44507.67639,12,128070000,36.5748441,139.2394179
1648,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2012,48603.47665,142,127629000,36.5748441,139.2394179
1649,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2014,38109.41211,17,127276000,36.5748441,139.2394179
1650,Japan,JPN,ASIA (EXCLUDING MIDDLE EAST)         ,2016,38761.81815,111,126994511,36.5748441,139.2394179
1651,Kazakhstan,KAZ,C.W. OF IND. STATES ,1994,1316.183629,7,16145766,47.2286086,65.2093197
1652,Kazakhstan,KAZ,C.W. OF IND. STATES ,1996,1350.30567,21,15578227,47.2286086,65.2093197
1653,Kazakhstan,KAZ,C.W. OF IND. STATES ,1998,1468.669291,2,15071640,47.2286086,65.2093197
1654,Kazakhstan,KAZ,C.W. OF IND. STATES ,2000,1229.001247,17,14883626,47.2286086,65.2093197
1655,Kazakhstan,KAZ,C.W. OF IND. STATES ,2002,1658.030785,0,14858948,47.2286086,65.2093197
1656,Kazakhstan,KAZ,C.W. OF IND. STATES ,2004,2874.288483,14,15012984,47.2286086,65.2093197
1657,Kazakhstan,KAZ,C.W. OF IND. STATES ,2006,5291.575305,0,15308085,47.2286086,65.2093197
1658,Kazakhstan,KAZ,C.W. OF IND. STATES ,2008,8458.017154,21,15776938,47.2286086,65.2093197
1659,Kazakhstan,KAZ,C.W. OF IND. STATES ,2010,9070.488253,2,16321872,47.2286086,65.2093197
1660,Kazakhstan,KAZ,C.W. OF IND. STATES ,2012,12386.69927,28,16792090,47.2286086,65.2093197
1661,Kazakhstan,KAZ,C.W. OF IND. STATES ,2014,12807.26069,1,17288285,47.2286086,65.2093197
1662,Kazakhstan,KAZ,C.W. OF IND. STATES ,2016,7714.841844,29,17794055,47.2286086,65.2093197
1664,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1960,97.44550102,0,8120082,1.4419683,38.4313975
1665,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1964,108.2936884,1,9222692,1.4419683,38.4313975
1666,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1968,128.397262,25,10539909,1.4419683,38.4313975
1667,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1972,173.4947318,25,12146070,1.4419683,38.4313975
1668,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1984,323.3733809,5,19146403,1.4419683,38.4313975
1669,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1988,377.1553527,21,22153685,1.4419683,38.4313975
1670,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1992,324.1373782,16,25326080,1.4419683,38.4313975
1671,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1996,421.3391971,14,28589456,1.4419683,38.4313975
1672,Kenya,KEN,SUB-SAHARAN AFRICA                 ,1998,465.909801,0,30250488,1.4419683,38.4313975
1673,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2000,397.4826588,14,31964557,1.4419683,38.4313975
1674,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2002,389.5426302,0,33751746,1.4419683,38.4313975
1675,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2004,451.6687666,13,35635267,1.4419683,38.4313975
1676,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2006,685.9544229,0,37649039,1.4419683,38.4313975
1677,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2008,902.0699578,31,39791984,1.4419683,38.4313975
1678,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2012,1136.869893,19,44343469,1.4419683,38.4313975
1679,Kenya,KEN,SUB-SAHARAN AFRICA                 ,2016,1410.532025,31,49051531,1.4419683,38.4313975
1680,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,1994,372.30781,0,4515100,41.5089324,74.724091
1681,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,1996,394.8601215,0,4628400,41.5089324,74.724091
1682,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,1998,345.1381316,0,4769000,41.5089324,74.724091
1683,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2000,279.6195693,1,4898400,41.5089324,74.724091
1684,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2002,321.7270332,0,4990700,41.5089324,74.724091
1685,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2004,433.2349766,0,5104700,41.5089324,74.724091
1686,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2006,543.1107024,0,5218400,41.5089324,74.724091
1687,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2008,966.3936272,3,5318700,41.5089324,74.724091
1688,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2010,880.0377751,0,5447900,41.5089324,74.724091
1689,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2012,1177.974735,0,5607200,41.5089324,74.724091
1690,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2014,1279.769783,0,5835500,41.5089324,74.724091
1691,Kyrgyzstan,KGZ,C.W. OF IND. STATES ,2016,1120.666513,0,6079500,41.5089324,74.724091
1692,Kiribati,KIR,OCEANIA                            ,2004,1131.152504,0,90498,0.3448612,173.6641773
1693,Kiribati,KIR,OCEANIA                            ,2008,1428.134977,0,98760,0.3448612,173.6641773
1694,Kiribati,KIR,OCEANIA                            ,2012,1788.690394,0,106359,0.3448612,173.6641773
1695,Kiribati,KIR,OCEANIA                            ,2016,1584.737028,0,112529,0.3448612,173.6641773
1699,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1960,158.2493033,0,25012374,36.638392,127.6961188
1700,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1964,123.6034948,5,27984155,36.638392,127.6961188
1701,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1968,198.431298,3,30838302,36.638392,127.6961188
1702,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1972,324.1962768,2,33505406,36.638392,127.6961188
1703,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1976,834.134208,20,35848523,36.638392,127.6961188
1704,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1980,1715.42946,0,38123775,36.638392,127.6961188
1705,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1984,2413.263925,81,40405956,36.638392,127.6961188
1706,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1988,4748.629608,170,42031247,36.638392,127.6961188
1707,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1992,8126.67039,128,43747962,36.638392,127.6961188
1708,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1994,10385.33617,24,44641540,36.638392,127.6961188
1709,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1996,13403.04959,135,45524681,36.638392,127.6961188
1710,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,1998,8281.699982,28,46286503,36.638392,127.6961188
1711,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2000,12256.99357,123,47008111,36.638392,127.6961188
1712,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2002,13165.06574,19,47644736,36.638392,127.6961188
1713,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2004,16496.12009,108,48082519,36.638392,127.6961188
1714,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2006,21743.47745,50,48438292,36.638392,127.6961188
1715,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2008,21350.42798,171,49054708,36.638392,127.6961188
1716,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2010,23087.22564,40,49554112,36.638392,127.6961188
1717,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2012,25466.76052,110,50199853,36.638392,127.6961188
1718,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2014,29249.57522,33,50746659,36.638392,127.6961188
1719,South Korea,KOR,ASIA (EXCLUDING MIDDLE EAST)         ,2016,29288.87044,55,51217803,36.638392,127.6961188
1745,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,1988,148.9650659,0,4020817,20.0171109,103.378253
1746,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,1992,250.6044968,0,4500346,20.0171109,103.378253
1747,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,1996,378.4286058,0,4951189,20.0171109,103.378253
1748,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,2000,325.1869371,0,5323701,20.0171109,103.378253
1749,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,2004,417.9291685,0,5662199,20.0171109,103.378253
1750,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,2008,900.3221829,0,6046630,20.0171109,103.378253
1751,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,2012,1581.39614,0,6444527,20.0171109,103.378253
1752,Laos,LAO,ASIA (EXCLUDING MIDDLE EAST)         ,2016,2308.799808,0,6845848,20.0171109,103.378253
1787,Liberia,LBR,SUB-SAHARAN AFRICA                 ,2000,306.8338642,0,2848447,5.7499721,-9.3658524
1788,Liberia,LBR,SUB-SAHARAN AFRICA                 ,2004,286.0647253,0,3135654,5.7499721,-9.3658524
1789,Liberia,LBR,SUB-SAHARAN AFRICA                 ,2008,478.3995401,0,3607863,5.7499721,-9.3658524
1790,Liberia,LBR,SUB-SAHARAN AFRICA                 ,2012,657.9357791,0,4135662,5.7499721,-9.3658524
1791,Liberia,LBR,SUB-SAHARAN AFRICA                 ,2016,714.6233922,0,4586788,5.7499721,-9.3658524
1792,Saint Lucia,LCA,LATIN AMER. & CARIB    ,1996,5300.354676,0,148837,13.8250489,-60.975036
1793,Saint Lucia,LCA,LATIN AMER. & CARIB    ,2000,5950.047485,0,156737,13.8250489,-60.975036
1794,Saint Lucia,LCA,LATIN AMER. & CARIB    ,2004,6591.645501,0,161821,13.8250489,-60.975036
1795,Saint Lucia,LCA,LATIN AMER. & CARIB    ,2008,8456.694632,0,170011,13.8250489,-60.975036
1796,Saint Lucia,LCA,LATIN AMER. & CARIB    ,2012,9086.387955,0,176654,13.8250489,-60.975036
1797,Saint Lucia,LCA,LATIN AMER. & CARIB    ,2016,10361.58388,0,180028,13.8250489,-60.975036
1838,Liechtenstein,LIE,WESTERN EUROPE                     ,1972,5637.919093,0,22161,47.1416307,9.5531527
1839,Liechtenstein,LIE,WESTERN EUROPE                     ,1976,11385.6967,2,23933,47.1416307,9.5531527
1840,Liechtenstein,LIE,WESTERN EUROPE                     ,1980,20660.0176,10,25881,47.1416307,9.5531527
1841,Liechtenstein,LIE,WESTERN EUROPE                     ,1984,18596.17269,2,27028,47.1416307,9.5531527
1842,Liechtenstein,LIE,WESTERN EUROPE                     ,1988,41292.25772,1,28135,47.1416307,9.5531527
1843,Liechtenstein,LIE,WESTERN EUROPE                     ,1992,55197.54701,0,29552,47.1416307,9.5531527
1844,Liechtenstein,LIE,WESTERN EUROPE                     ,1994,64051.23221,0,30415,47.1416307,9.5531527
1845,Liechtenstein,LIE,WESTERN EUROPE                     ,1996,79863.27908,0,31354,47.1416307,9.5531527
1846,Liechtenstein,LIE,WESTERN EUROPE                     ,1998,76757.30022,0,32306,47.1416307,9.5531527
1847,Liechtenstein,LIE,WESTERN EUROPE                     ,2000,74853.93873,0,33184,47.1416307,9.5531527
1848,Liechtenstein,LIE,WESTERN EUROPE                     ,2002,79345.75247,0,33885,47.1416307,9.5531527
1849,Liechtenstein,LIE,WESTERN EUROPE                     ,2004,100289.243,0,34444,47.1416307,9.5531527
1850,Liechtenstein,LIE,WESTERN EUROPE                     ,2006,114374.2465,0,34975,47.1416307,9.5531527
1851,Liechtenstein,LIE,WESTERN EUROPE                     ,2008,143264.0594,0,35469,47.1416307,9.5531527
1852,Liechtenstein,LIE,WESTERN EUROPE                     ,2010,141192.5347,0,35996,47.1416307,9.5531527
1853,Liechtenstein,LIE,WESTERN EUROPE                     ,2012,149010.2249,0,36615,47.1416307,9.5531527
1854,Liechtenstein,LIE,WESTERN EUROPE                     ,2014,178864.8519,0,37219,47.1416307,9.5531527
1855,Liechtenstein,LIE,WESTERN EUROPE                     ,2016,165642.3863,0,37655,47.1416307,9.5531527
1860,Lithuania,LTU,BALTICS                            ,1996,2327.434857,11,3601613,55.3500003,23.7499997
1861,Lithuania,LTU,BALTICS                            ,1998,3166.666533,0,3549331,55.3500003,23.7499997
1862,Lithuania,LTU,BALTICS                            ,2000,3293.229979,21,3499536,55.3500003,23.7499997
1863,Lithuania,LTU,BALTICS                            ,2002,4141.592702,0,3443067,55.3500003,23.7499997
1864,Lithuania,LTU,BALTICS                            ,2004,6700.327192,7,3377075,55.3500003,23.7499997
1865,Lithuania,LTU,BALTICS                            ,2006,9230.707981,0,3269909,55.3500003,23.7499997
1866,Lithuania,LTU,BALTICS                            ,2008,14944.99665,7,3198231,55.3500003,23.7499997
1867,Lithuania,LTU,BALTICS                            ,2010,11987.50841,0,3097282,55.3500003,23.7499997
1868,Lithuania,LTU,BALTICS                            ,2012,14367.70942,10,2987773,55.3500003,23.7499997
1869,Lithuania,LTU,BALTICS                            ,2014,16551.0182,0,2932367,55.3500003,23.7499997
1870,Lithuania,LTU,BALTICS                            ,2016,14998.12506,9,2868231,55.3500003,23.7499997
1881,Luxembourg,LUX,WESTERN EUROPE                     ,1960,2242.015817,0,313970,49.8158683,6.1296751
1882,Luxembourg,LUX,WESTERN EUROPE                     ,1964,2755.633117,0,327750,49.8158683,6.1296751
1883,Luxembourg,LUX,WESTERN EUROPE                     ,1968,3175.367369,0,335850,49.8158683,6.1296751
1884,Luxembourg,LUX,WESTERN EUROPE                     ,1972,5680.130953,0,346600,49.8158683,6.1296751
1885,Luxembourg,LUX,WESTERN EUROPE                     ,1976,9825.239715,0,360731,49.8158683,6.1296751
1886,Luxembourg,LUX,WESTERN EUROPE                     ,1980,17113.84263,0,364150,49.8158683,6.1296751
1887,Luxembourg,LUX,WESTERN EUROPE                     ,1984,12554.41776,0,365998,49.8158683,6.1296751
1888,Luxembourg,LUX,WESTERN EUROPE                     ,1988,26108.34455,0,373450,49.8158683,6.1296751
1889,Luxembourg,LUX,WESTERN EUROPE                     ,1992,40965.74304,4,392175,49.8158683,6.1296751
1890,Luxembourg,LUX,WESTERN EUROPE                     ,1994,45481.89101,0,402925,49.8158683,6.1296751
1891,Luxembourg,LUX,WESTERN EUROPE                     ,1996,52571.93499,0,414225,49.8158683,6.1296751
1892,Luxembourg,LUX,WESTERN EUROPE                     ,1998,47584.46439,0,424700,49.8158683,6.1296751
1893,Luxembourg,LUX,WESTERN EUROPE                     ,2000,48735.99549,0,436300,49.8158683,6.1296751
1894,Luxembourg,LUX,WESTERN EUROPE                     ,2004,75716.35108,0,458095,49.8158683,6.1296751
1895,Luxembourg,LUX,WESTERN EUROPE                     ,2006,89739.7117,0,472637,49.8158683,6.1296751
1896,Luxembourg,LUX,WESTERN EUROPE                     ,2008,114293.8433,0,488650,49.8158683,6.1296751
1897,Luxembourg,LUX,WESTERN EUROPE                     ,2012,106749.0136,0,530946,49.8158683,6.1296751
1898,Luxembourg,LUX,WESTERN EUROPE                     ,2014,118823.6484,0,556319,49.8158683,6.1296751
1899,Luxembourg,LUX,WESTERN EUROPE                     ,2016,104278.391,0,582014,49.8158683,6.1296751
1915,Morocco,MAR,NORTHERN AFRICA                    ,1960,164.8008324,2,12328532,31.1728205,-7.3362482
1916,Morocco,MAR,NORTHERN AFRICA                    ,1964,201.261983,0,13857656,31.1728205,-7.3362482
1917,Morocco,MAR,NORTHERN AFRICA                    ,1968,212.7508556,0,15307267,31.1728205,-7.3362482
1918,Morocco,MAR,NORTHERN AFRICA                    ,1972,302.5644904,0,16696890,31.1728205,-7.3362482
1919,Morocco,MAR,NORTHERN AFRICA                    ,1976,524.1791237,0,18198836,31.1728205,-7.3362482
1920,Morocco,MAR,NORTHERN AFRICA                    ,1984,668.385423,6,22002641,31.1728205,-7.3362482
1921,Morocco,MAR,NORTHERN AFRICA                    ,1988,1066.330652,5,23903592,31.1728205,-7.3362482
1922,Morocco,MAR,NORTHERN AFRICA                    ,1992,1299.421278,6,25711410,31.1728205,-7.3362482
1923,Morocco,MAR,NORTHERN AFRICA                    ,1996,1561.129611,2,27383472,31.1728205,-7.3362482
1924,Morocco,MAR,NORTHERN AFRICA                    ,2000,1334.943464,6,28793672,31.1728205,-7.3362482
1925,Morocco,MAR,NORTHERN AFRICA                    ,2004,1952.902534,8,30115196,31.1728205,-7.3362482
1926,Morocco,MAR,NORTHERN AFRICA                    ,2008,2890.360715,3,31536807,31.1728205,-7.3362482
1927,Morocco,MAR,NORTHERN AFRICA                    ,2010,2839.92612,0,32343384,31.1728205,-7.3362482
1928,Morocco,MAR,NORTHERN AFRICA                    ,2012,2912.658275,1,33241898,31.1728205,-7.3362482
1929,Morocco,MAR,NORTHERN AFRICA                    ,2014,3171.699192,0,34192358,31.1728205,-7.3362482
1930,Morocco,MAR,NORTHERN AFRICA                    ,2016,2896.722196,1,35126274,31.1728205,-7.3362482
1955,Moldova,MDA,C.W. OF IND. STATES ,1996,575.319576,5,2946401,47.2879608,28.5670941
1956,Moldova,MDA,C.W. OF IND. STATES ,1998,578.9097663,0,2934339,47.2879608,28.5670941
1957,Moldova,MDA,C.W. OF IND. STATES ,2000,440.6720307,3,2923783,47.2879608,28.5670941
1958,Moldova,MDA,C.W. OF IND. STATES ,2002,570.9726454,0,2910504,47.2879608,28.5670941
1959,Moldova,MDA,C.W. OF IND. STATES ,2004,897.4499588,0,2895147,47.2879608,28.5670941
1960,Moldova,MDA,C.W. OF IND. STATES ,2006,1183.379211,0,2880095,47.2879608,28.5670941
1961,Moldova,MDA,C.W. OF IND. STATES ,2008,2111.201495,1,2867964,47.2879608,28.5670941
1962,Moldova,MDA,C.W. OF IND. STATES ,2010,2437.529978,0,2861487,47.2879608,28.5670941
1963,Moldova,MDA,C.W. OF IND. STATES ,2012,3045.739874,2,2859458,47.2879608,28.5670941
1964,Moldova,MDA,C.W. OF IND. STATES ,2014,3328.801449,0,2856950,47.2879608,28.5670941
1965,Moldova,MDA,C.W. OF IND. STATES ,2016,2880.439281,0,2802170,47.2879608,28.5670941
1966,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,1988,803.7222438,0,209787,4.7064352,73.3287853
1967,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,1992,1205.621336,0,236271,4.7064352,73.3287853
1968,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,1996,1737.733635,0,259178,4.7064352,73.3287853
1969,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,2000,2234.595861,0,279396,4.7064352,73.3287853
1970,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,2004,3941.431136,0,311265,4.7064352,73.3287853
1971,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,2008,6614.23618,0,343448,4.7064352,73.3287853
1972,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,2012,7265.723399,0,397231,4.7064352,73.3287853
1973,Maldives,MDV,ASIA (EXCLUDING MIDDLE EAST)         ,2016,9209.399665,0,475505,4.7064352,73.3287853
1982,Mexico,MEX,LATIN AMER. & CARIB    ,1960,345.2305408,1,37771861,22.5000485,-100.000037
1983,Mexico,MEX,LATIN AMER. & CARIB    ,1964,469.4761369,1,42771077,22.5000485,-100.000037
1984,Mexico,MEX,LATIN AMER. & CARIB    ,1968,606.2111327,18,48431971,22.5000485,-100.000037
1985,Mexico,MEX,LATIN AMER. & CARIB    ,1972,826.4773502,2,54689944,22.5000485,-100.000037
1986,Mexico,MEX,LATIN AMER. & CARIB    ,1976,1453.670672,4,61242189,22.5000485,-100.000037
1987,Mexico,MEX,LATIN AMER. & CARIB    ,1980,3027.375274,11,67761367,22.5000485,-100.000037
1988,Mexico,MEX,LATIN AMER. & CARIB    ,1984,2478.210836,13,74352631,22.5000485,-100.000037
1989,Mexico,MEX,LATIN AMER. & CARIB    ,1988,2247.981386,2,80788725,22.5000485,-100.000037
1990,Mexico,MEX,LATIN AMER. & CARIB    ,1992,4170.623383,2,87075136,22.5000485,-100.000037
1991,Mexico,MEX,LATIN AMER. & CARIB    ,1994,5854.418117,0,90156396,22.5000485,-100.000037
1992,Mexico,MEX,LATIN AMER. & CARIB    ,1996,4412.116298,1,93147045,22.5000485,-100.000037
1993,Mexico,MEX,LATIN AMER. & CARIB    ,2000,7157.8145,10,98899845,22.5000485,-100.000037
1994,Mexico,MEX,LATIN AMER. & CARIB    ,2002,7593.137345,0,101684764,22.5000485,-100.000037
1995,Mexico,MEX,LATIN AMER. & CARIB    ,2004,7484.486399,7,104514934,22.5000485,-100.000037
1996,Mexico,MEX,LATIN AMER. & CARIB    ,2008,10016.57121,8,110815272,22.5000485,-100.000037
1997,Mexico,MEX,LATIN AMER. & CARIB    ,2010,9271.398396,0,114092961,22.5000485,-100.000037
1998,Mexico,MEX,LATIN AMER. & CARIB    ,2012,10241.72783,61,117274156,22.5000485,-100.000037
1999,Mexico,MEX,LATIN AMER. & CARIB    ,2014,10928.91601,0,120355137,22.5000485,-100.000037
2000,Mexico,MEX,LATIN AMER. & CARIB    ,2016,8744.515559,8,123333379,22.5000485,-100.000037
2021,Marshall Islands,MHL,OCEANIA                            ,2008,2704.463554,0,56166,8.9995549,168.0002575
2022,Marshall Islands,MHL,OCEANIA                            ,2012,3181.6247,0,56712,8.9995549,168.0002575
2023,Marshall Islands,MHL,OCEANIA                            ,2016,3490.998389,0,57723,8.9995549,168.0002575
2024,Macedonia,MKD,EASTERN EUROPE                     ,1996,2338.070661,0,1989441,41.6171214,21.7168387
2025,Macedonia,MKD,EASTERN EUROPE                     ,1998,1866.854729,0,2012052,41.6171214,21.7168387
2026,Macedonia,MKD,EASTERN EUROPE                     ,2000,1854.536271,1,2034823,41.6171214,21.7168387
2027,Macedonia,MKD,EASTERN EUROPE                     ,2002,1949.682449,0,2048930,41.6171214,21.7168387
2028,Macedonia,MKD,EASTERN EUROPE                     ,2004,2762.593686,0,2057044,41.6171214,21.7168387
2029,Macedonia,MKD,EASTERN EUROPE                     ,2006,3326.438511,0,2063132,41.6171214,21.7168387
2030,Macedonia,MKD,EASTERN EUROPE                     ,2008,4794.334682,0,2067309,41.6171214,21.7168387
2031,Macedonia,MKD,EASTERN EUROPE                     ,2010,4545.392131,0,2070737,41.6171214,21.7168387
2032,Macedonia,MKD,EASTERN EUROPE                     ,2012,4697.196689,0,2074275,41.6171214,21.7168387
2033,Macedonia,MKD,EASTERN EUROPE                     ,2014,5468.126225,0,2077780,41.6171214,21.7168387
2034,Macedonia,MKD,EASTERN EUROPE                     ,2016,5132.997146,0,2080746,41.6171214,21.7168387
2036,Mali,MLI,SUB-SAHARAN AFRICA                 ,1968,59.46751727,0,5780836,16.3700359,-2.2900239
2037,Mali,MLI,SUB-SAHARAN AFRICA                 ,1972,79.15741066,0,6147464,16.3700359,-2.2900239
2038,Mali,MLI,SUB-SAHARAN AFRICA                 ,1980,248.1890037,0,7090124,16.3700359,-2.2900239
2039,Mali,MLI,SUB-SAHARAN AFRICA                 ,1984,160.2280599,0,7694857,16.3700359,-2.2900239
2040,Mali,MLI,SUB-SAHARAN AFRICA                 ,1988,265.4389164,0,8171525,16.3700359,-2.2900239
2041,Mali,MLI,SUB-SAHARAN AFRICA                 ,1992,319.8380297,0,8850334,16.3700359,-2.2900239
2042,Mali,MLI,SUB-SAHARAN AFRICA                 ,1996,282.6328859,0,9837575,16.3700359,-2.2900239
2043,Mali,MLI,SUB-SAHARAN AFRICA                 ,2000,270.5429979,0,10946448,16.3700359,-2.2900239
2044,Mali,MLI,SUB-SAHARAN AFRICA                 ,2004,440.9584495,0,12369078,16.3700359,-2.2900239
2045,Mali,MLI,SUB-SAHARAN AFRICA                 ,2008,697.0878685,0,14113578,16.3700359,-2.2900239
2046,Mali,MLI,SUB-SAHARAN AFRICA                 ,2012,778.6252695,0,15979492,16.3700359,-2.2900239
2047,Mali,MLI,SUB-SAHARAN AFRICA                 ,2016,780.7235695,0,17965448,16.3700359,-2.2900239
2053,Malta,MLT,WESTERN EUROPE                     ,1972,975.7588009,0,302450,35.8885993,14.4476911
2054,Malta,MLT,WESTERN EUROPE                     ,1980,3948.403126,0,316645,35.8885993,14.4476911
2055,Malta,MLT,WESTERN EUROPE                     ,1984,3332.885357,0,330593,35.8885993,14.4476911
2056,Malta,MLT,WESTERN EUROPE                     ,1988,5814.364771,0,347325,35.8885993,14.4476911
2057,Malta,MLT,WESTERN EUROPE                     ,1992,8220.245518,0,367618,35.8885993,14.4476911
2058,Malta,MLT,WESTERN EUROPE                     ,1996,10062.73358,0,379905,35.8885993,14.4476911
2059,Malta,MLT,WESTERN EUROPE                     ,2000,10432.32812,0,390087,35.8885993,14.4476911
2060,Malta,MLT,WESTERN EUROPE                     ,2004,15197.05671,0,401268,35.8885993,14.4476911
2061,Malta,MLT,WESTERN EUROPE                     ,2008,22205.35681,0,409379,35.8885993,14.4476911
2062,Malta,MLT,WESTERN EUROPE                     ,2012,22527.63676,0,420028,35.8885993,14.4476911
2063,Malta,MLT,WESTERN EUROPE                     ,2014,26754.26845,0,434558,35.8885993,14.4476911
2064,Malta,MLT,WESTERN EUROPE                     ,2016,25741.44606,0,455356,35.8885993,14.4476911
2100,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,1992,191.2178344,0,13805999,-19.302233,34.9144977
2101,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,1996,241.6473879,1,15960445,-19.302233,34.9144977
2102,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,2000,319.3596208,3,17711925,-19.302233,34.9144977
2103,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,2004,383.2702219,0,19910549,-19.302233,34.9144977
2104,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,2008,563.6496343,0,22276596,-19.302233,34.9144977
2105,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,2012,657.6446765,0,24862673,-19.302233,34.9144977
2106,Mozambique,MOZ,SUB-SAHARAN AFRICA                 ,2016,428.9266729,0,27829930,-19.302233,34.9144977
2142,Namibia,NAM,SUB-SAHARAN AFRICA                 ,1992,2260.810348,4,1516951,-23.2335499,17.3231107
2143,Namibia,NAM,SUB-SAHARAN AFRICA                 ,1996,2398.257444,4,1663378,-23.2335499,17.3231107
